Sr No.,"Date of 
Encashment","Bond
Number",Name of the Political Party,Name of the Purchaser,Denominations,"Account no. of
Political Party","Pay Branch
Code",Pay Teller
19983,15-01-2024,TL15975,"President, All India Congress Committee",Mvm Securities Pvt Ltd-Self A/C,1000000,*******4012,691,8212066
19984,15-01-2024,TL15979,"President, All India Congress Committee",Mvm Securities Pvt Ltd-Self A/C,1000000,*******4012,691,8212066
20273,18-01-2024,OC17820,"President, All India Congress Committee",Mvm Securities Pvt Ltd-Self A/C,10000000,*******4012,691,7516991
20281,18-01-2024,TL16091,"President, All India Congress Committee",Mvm Securities Pvt Ltd-Self A/C,1000000,*******4012,691,7516991
20282,18-01-2024,TL16087,"President, All India Congress Committee",Mvm Securities Pvt Ltd-Self A/C,1000000,*******4012,691,7516991
20283,18-01-2024,TL16085,"President, All India Congress Committee",Mvm Securities Pvt Ltd-Self A/C,1000000,*******4012,691,7516991
20284,18-01-2024,TL16089,"President, All India Congress Committee",Mvm Securities Pvt Ltd-Self A/C,1000000,*******4012,691,7516991
20285,18-01-2024,TL16083,"President, All India Congress Committee",Mvm Securities Pvt Ltd-Self A/C,1000000,*******4012,691,7516991
15370,13-07-2023,OC14594,Bharat Rashtra Samithi,My Home Infrastructures Private Li,10000000,*******7477,847,6013147
15371,13-07-2023,OC14610,Bharat Rashtra Samithi,My Home Infrastructures Private Li,10000000,*******7477,847,6013147
15372,13-07-2023,OC14590,Bharat Rashtra Samithi,My Home Infrastructures Private Li,10000000,*******7477,847,6013147
15373,13-07-2023,OC14612,Bharat Rashtra Samithi,My Home Infrastructures Private Li,10000000,*******7477,847,6013147
15374,13-07-2023,OC14592,Bharat Rashtra Samithi,My Home Infrastructures Private Li,10000000,*******7477,847,6013147
15375,13-07-2023,OC14596,Bharat Rashtra Samithi,My Home Infrastructures Private Li,10000000,*******7477,847,6013147
15376,13-07-2023,OC14614,Bharat Rashtra Samithi,My Home Infrastructures Private Li,10000000,*******7477,847,6013147
15377,13-07-2023,OC14584,Bharat Rashtra Samithi,My Home Infrastructures Private Li,10000000,*******7477,847,6013147
15378,13-07-2023,OC14606,Bharat Rashtra Samithi,My Home Infrastructures Private Li,10000000,*******7477,847,6013147
15379,13-07-2023,OC14608,Bharat Rashtra Samithi,My Home Infrastructures Private Li,10000000,*******7477,847,6013147
15380,13-07-2023,OC14604,Bharat Rashtra Samithi,My Home Infrastructures Private Li,10000000,*******7477,847,6013147
15381,13-07-2023,OC14586,Bharat Rashtra Samithi,My Home Infrastructures Private Li,10000000,*******7477,847,6013147
15382,13-07-2023,OC14600,Bharat Rashtra Samithi,My Home Infrastructures Private Li,10000000,*******7477,847,6013147
15383,13-07-2023,OC14588,Bharat Rashtra Samithi,My Home Infrastructures Private Li,10000000,*******7477,847,6013147
15384,13-07-2023,OC14598,Bharat Rashtra Samithi,My Home Infrastructures Private Li,10000000,*******7477,847,6013147
19288,23-11-2023,OC16744,Bharatiya Janata Party,My Home Infrastructures Pvt Ltd My,10000000,*******8244,691,8212066
19289,23-11-2023,OC16738,Bharatiya Janata Party,My Home Infrastructures Pvt Ltd My,10000000,*******8244,691,8212066
19290,23-11-2023,OC16740,Bharatiya Janata Party,My Home Infrastructures Pvt Ltd My,10000000,*******8244,691,8212066
19291,23-11-2023,OC16742,Bharatiya Janata Party,My Home Infrastructures Pvt Ltd My,10000000,*******8244,691,8212066
19292,23-11-2023,OC16736,Bharatiya Janata Party,My Home Infrastructures Pvt Ltd My,10000000,*******8244,691,8212066
19407,24-11-2023,OC16746,"President, All India Congress Committee",My Home Infrastructures Pvt Ltd My,10000000,*******4012,691,8212066
19408,24-11-2023,OC16748,"President, All India Congress Committee",My Home Infrastructures Pvt Ltd My,10000000,*******4012,691,8212066
19409,24-11-2023,OC16752,"President, All India Congress Committee",My Home Infrastructures Pvt Ltd My,10000000,*******4012,691,8212066
19410,24-11-2023,OC16750,"President, All India Congress Committee",My Home Infrastructures Pvt Ltd My,10000000,*******4012,691,8212066
19418,24-11-2023,TL7467,"President, All India Congress Committee",My Home Infrastructures Pvt Ltd My,1000000,*******4012,691,8212066
19419,24-11-2023,TL7473,"President, All India Congress Committee",My Home Infrastructures Pvt Ltd My,1000000,*******4012,691,8212066
19420,24-11-2023,TL7471,"President, All India Congress Committee",My Home Infrastructures Pvt Ltd My,1000000,*******4012,691,8212066
19421,24-11-2023,TL7475,"President, All India Congress Committee",My Home Infrastructures Pvt Ltd My,1000000,*******4012,691,8212066
19422,24-11-2023,TL7469,"President, All India Congress Committee",My Home Infrastructures Pvt Ltd My,1000000,*******4012,691,8212066
2574,23-04-2019,TL2357,Bharatiya Janata Party,Myriad Developers,1000000,*******8244,691,3300196
2686,23-04-2019,OL10036,Bharatiya Janata Party,Myriad Developers,100000,*******8244,691,3300196
2687,23-04-2019,OL10032,Bharatiya Janata Party,Myriad Developers,100000,*******8244,691,3300196
2688,23-04-2019,OL10038,Bharatiya Janata Party,Myriad Developers,100000,*******8244,691,3300196
2689,23-04-2019,OL10034,Bharatiya Janata Party,Myriad Developers,100000,*******8244,691,3300196
2690,23-04-2019,OL10030,Bharatiya Janata Party,Myriad Developers,100000,*******8244,691,3300196
6641,14-07-2021,OC6868,Bharatiya Janata Party,Mytrah Energy India Private Limited,10000000,*******8244,691,3428540
6642,14-07-2021,OC6870,Bharatiya Janata Party,Mytrah Energy India Private Limited,10000000,*******8244,691,3428540
6643,14-07-2021,OC6866,Bharatiya Janata Party,Mytrah Energy India Private Limited,10000000,*******8244,691,3428540
6644,14-07-2021,OC6852,Bharatiya Janata Party,Mytrah Energy India Private Limited,10000000,*******8244,691,3428540
6645,14-07-2021,OC6854,Bharatiya Janata Party,Mytrah Energy India Private Limited,10000000,*******8244,691,3428540
6646,14-07-2021,OC6856,Bharatiya Janata Party,Mytrah Energy India Private Limited,10000000,*******8244,691,3428540
6647,14-07-2021,OC6864,Bharatiya Janata Party,Mytrah Energy India Private Limited,10000000,*******8244,691,3428540
6648,14-07-2021,OC6862,Bharatiya Janata Party,Mytrah Energy India Private Limited,10000000,*******8244,691,3428540
6649,14-07-2021,OC6860,Bharatiya Janata Party,Mytrah Energy India Private Limited,10000000,*******8244,691,3428540
6650,14-07-2021,OC6858,Bharatiya Janata Party,Mytrah Energy India Private Limited,10000000,*******8244,691,3428540
14104,15-04-2023,OC14567,Bharat Rashtra Samithi,Mytrah Energy India Private Limited,10000000,*******7477,847,3889823
14530,17-04-2023,OC14569,"President, All India Congress Committee",Mytrah Energy India Private Limited,10000000,*******4012,691,5972302
14531,17-04-2023,OC14571,"President, All India Congress Committee",Mytrah Energy India Private Limited,10000000,*******4012,691,5972302
14532,17-04-2023,OC14573,"President, All India Congress Committee",Mytrah Energy India Private Limited,10000000,*******4012,691,5972302
3968,17-05-2019,OC6754,Bharat Rashtra Samithi,Mytrah Energy(India) Private Limited,10000000,*******7477,847,3367975
3969,17-05-2019,OC6763,Bharat Rashtra Samithi,Mytrah Energy(India) Private Limited,10000000,*******7477,847,3367975
3970,17-05-2019,OC6756,Bharat Rashtra Samithi,Mytrah Energy(India) Private Limited,10000000,*******7477,847,3367975
3971,17-05-2019,OC6761,Bharat Rashtra Samithi,Mytrah Energy(India) Private Limited,10000000,*******7477,847,3367975
4145,22-05-2019,OC6765,Bharat Rashtra Samithi,Mytrah Energy(India) Private Limited,10000000,*******7477,847,3367975
14635,17-04-2023,OC14496,Telugu Desam Party,N A R Infra Private Limited,10000000,*******3067,847,3889823
14636,17-04-2023,OC14498,Telugu Desam Party,N A R Infra Private Limited,10000000,*******3067,847,3889823
14637,17-04-2023,OC14550,Telugu Desam Party,N A R Infra Private Limited,10000000,*******3067,847,3889823
14638,17-04-2023,OC14502,Telugu Desam Party,N A R Infra Private Limited,10000000,*******3067,847,3889823
14639,17-04-2023,OC14500,Telugu Desam Party,N A R Infra Private Limited,10000000,*******3067,847,3889823
12917,24-11-2022,TL13271,"President, All India Congress Committee",Nahar Builders And Developers Ltd,1000000,*******4012,691,5972302
12918,24-11-2022,TL13279,"President, All India Congress Committee",Nahar Builders And Developers Ltd,1000000,*******4012,691,5972302
12919,24-11-2022,TL13273,"President, All India Congress Committee",Nahar Builders And Developers Ltd,1000000,*******4012,691,5972302
12920,24-11-2022,TL13275,"President, All India Congress Committee",Nahar Builders And Developers Ltd,1000000,*******4012,691,5972302
12921,24-11-2022,TL13277,"President, All India Congress Committee",Nahar Builders And Developers Ltd,1000000,*******4012,691,5972302
6491,12-07-2021,TL1073,"President, All India Congress Committee",Namit Puri,1000000,*******4012,691,7516991
6492,12-07-2021,TL1066,"President, All India Congress Committee",Namit Puri,1000000,*******4012,691,7516991
6503,12-07-2021,OL25112,"President, All India Congress Committee",Namit Puri,100000,*******4012,691,7516991
6504,12-07-2021,OL25116,"President, All India Congress Committee",Namit Puri,100000,*******4012,691,7516991
6505,12-07-2021,OL25114,"President, All India Congress Committee",Namit Puri,100000,*******4012,691,7516991
6506,12-07-2021,OL25109,"President, All India Congress Committee",Namit Puri,100000,*******4012,691,7516991
6507,12-07-2021,OL25130,"President, All India Congress Committee",Namit Puri,100000,*******4012,691,7516991
6508,12-07-2021,OL25124,"President, All India Congress Committee",Namit Puri,100000,*******4012,691,7516991
6509,12-07-2021,OL25119,"President, All India Congress Committee",Namit Puri,100000,*******4012,691,7516991
6510,12-07-2021,OL25121,"President, All India Congress Committee",Namit Puri,100000,*******4012,691,7516991
6511,12-07-2021,OL25106,"President, All India Congress Committee",Namit Puri,100000,*******4012,691,7516991
6512,12-07-2021,OL25126,"President, All India Congress Committee",Namit Puri,100000,*******4012,691,7516991
4299,10-10-2019,OC7704,Nationalist Congress Party Maharashtra Pradesh,Nanded City Development And Constru,10000000,*******6138,300,6283527
4300,10-10-2019,OC7702,Nationalist Congress Party Maharashtra Pradesh,Nanded City Development And Constru,10000000,*******6138,300,6283527
17253,13-10-2023,OC5913,"President, All India Congress Committee",Nandi Enterprises,10000000,*******4012,691,8212066
17254,13-10-2023,OC5917,"President, All India Congress Committee",Nandi Enterprises,10000000,*******4012,691,8212066
17255,13-10-2023,OC5915,"President, All India Congress Committee",Nandi Enterprises,10000000,*******4012,691,8212066
17256,13-10-2023,OC5907,"President, All India Congress Committee",Nandi Enterprises,10000000,*******4012,691,8212066
17257,13-10-2023,OC5910,"President, All India Congress Committee",Nandi Enterprises,10000000,*******4012,691,8212066
17293,13-10-2023,TL2408,"President, All India Congress Committee",Nandi Enterprises,1000000,*******4012,691,8212066
17294,13-10-2023,TL2424,"President, All India Congress Committee",Nandi Enterprises,1000000,*******4012,691,8212066
17295,13-10-2023,TL2414,"President, All India Congress Committee",Nandi Enterprises,1000000,*******4012,691,8212066
17296,13-10-2023,TL2410,"President, All India Congress Committee",Nandi Enterprises,1000000,*******4012,691,8212066
17297,13-10-2023,TL2422,"President, All India Congress Committee",Nandi Enterprises,1000000,*******4012,691,8212066
17298,13-10-2023,TL2418,"President, All India Congress Committee",Nandi Enterprises,1000000,*******4012,691,8212066
17299,13-10-2023,TL2412,"President, All India Congress Committee",Nandi Enterprises,1000000,*******4012,691,8212066
17300,13-10-2023,TL2416,"President, All India Congress Committee",Nandi Enterprises,1000000,*******4012,691,8212066
17301,13-10-2023,TL2420,"President, All India Congress Committee",Nandi Enterprises,1000000,*******4012,691,8212066
17302,13-10-2023,OL6067,"President, All India Congress Committee",Nandi Enterprises,100000,*******4012,691,8212066
17303,13-10-2023,OL6058,"President, All India Congress Committee",Nandi Enterprises,100000,*******4012,691,8212066
17304,13-10-2023,OL6077,"President, All India Congress Committee",Nandi Enterprises,100000,*******4012,691,8212066
17305,13-10-2023,OL6081,"President, All India Congress Committee",Nandi Enterprises,100000,*******4012,691,8212066
17306,13-10-2023,OL6061,"President, All India Congress Committee",Nandi Enterprises,100000,*******4012,691,8212066
17307,13-10-2023,OL6072,"President, All India Congress Committee",Nandi Enterprises,100000,*******4012,691,8212066
17308,13-10-2023,OL6056,"President, All India Congress Committee",Nandi Enterprises,100000,*******4012,691,8212066
17309,13-10-2023,OL6065,"President, All India Congress Committee",Nandi Enterprises,100000,*******4012,691,8212066
18393,23-10-2023,TL2406,"President, All India Congress Committee",Nandi Enterprises,1000000,*******4012,691,8212066
18394,23-10-2023,TL2404,"President, All India Congress Committee",Nandi Enterprises,1000000,*******4012,691,8212066
5789,12-04-2021,TL13745,All India Trinamool Congress,Nangalia Associates,1000000,*******0688,1,3476510
5790,12-04-2021,TL13743,All India Trinamool Congress,Nangalia Associates,1000000,*******0688,1,3476510
5791,12-04-2021,TL13739,All India Trinamool Congress,Nangalia Associates,1000000,*******0688,1,3476510
5792,12-04-2021,TL13741,All India Trinamool Congress,Nangalia Associates,1000000,*******0688,1,3476510
5793,12-04-2021,TL13737,All India Trinamool Congress,Nangalia Associates,1000000,*******0688,1,3476510
15024,20-04-2023,TL14642,"President, All India Congress Committee",Nangalia Associates,1000000,*******4012,691,5972302
15025,20-04-2023,TL14644,"President, All India Congress Committee",Nangalia Associates,1000000,*******4012,691,5972302
15026,20-04-2023,TL14646,"President, All India Congress Committee",Nangalia Associates,1000000,*******4012,691,5972302
15027,20-04-2023,TL14638,"President, All India Congress Committee",Nangalia Associates,1000000,*******4012,691,5972302
15028,20-04-2023,TL14640,"President, All India Congress Committee",Nangalia Associates,1000000,*******4012,691,5972302
15029,20-04-2023,TL14648,"President, All India Congress Committee",Nangalia Associates,1000000,*******4012,691,5972302
15030,20-04-2023,TL14632,"President, All India Congress Committee",Nangalia Associates,1000000,*******4012,691,5972302
15031,20-04-2023,TL14634,"President, All India Congress Committee",Nangalia Associates,1000000,*******4012,691,5972302
15032,20-04-2023,TL14636,"President, All India Congress Committee",Nangalia Associates,1000000,*******4012,691,5972302
15033,20-04-2023,TL14630,"President, All India Congress Committee",Nangalia Associates,1000000,*******4012,691,5972302
14865,18-04-2023,OC14506,Janata Dal ( Secular ),Nara Constructions,10000000,*******3286,691,5972302
14866,18-04-2023,OC14508,Janata Dal ( Secular ),Nara Constructions,10000000,*******3286,691,5972302
14867,18-04-2023,OC14516,Janata Dal ( Secular ),Nara Constructions,10000000,*******3286,691,5972302
14868,18-04-2023,OC14512,Janata Dal ( Secular ),Nara Constructions,10000000,*******3286,691,5972302
14869,18-04-2023,OC14514,Janata Dal ( Secular ),Nara Constructions,10000000,*******3286,691,5972302
14870,18-04-2023,OC14518,Janata Dal ( Secular ),Nara Constructions,10000000,*******3286,691,5972302
14871,18-04-2023,OC14520,Janata Dal ( Secular ),Nara Constructions,10000000,*******3286,691,5972302
14872,18-04-2023,OC14522,Janata Dal ( Secular ),Nara Constructions,10000000,*******3286,691,5972302
14873,18-04-2023,OC14504,Janata Dal ( Secular ),Nara Constructions,10000000,*******3286,691,5972302
14874,18-04-2023,OC14510,Janata Dal ( Secular ),Nara Constructions,10000000,*******3286,691,5972302
7515,12-10-2021,OL1492,"President, All India Congress Committee",Narayan Poddar,100000,*******4012,691,6467970
7516,12-10-2021,OL1490,"President, All India Congress Committee",Narayan Poddar,100000,*******4012,691,6467970
7816,16-10-2021,OL1486,All India Trinamool Congress,Narayan Poddar,100000,*******0688,1,3490777
7817,16-10-2021,OL1484,All India Trinamool Congress,Narayan Poddar,100000,*******0688,1,3490777
7818,16-10-2021,OL1488,All India Trinamool Congress,Narayan Poddar,100000,*******0688,1,3490777
4029,20-05-2019,OC6572,Bharatiya Janata Party,Narbheram Vishram,10000000,*******8244,691,3627829
4030,20-05-2019,OC6573,Bharatiya Janata Party,Narbheram Vishram,10000000,*******8244,691,3627829
4031,20-05-2019,OC6575,Bharatiya Janata Party,Narbheram Vishram,10000000,*******8244,691,3627829
4032,20-05-2019,OC6574,Bharatiya Janata Party,Narbheram Vishram,10000000,*******8244,691,3627829
7594,12-10-2021,OL29303,"President, All India Congress Committee",Naresh Hiralal Bhansali,100000,*******4012,691,7516991
7595,12-10-2021,OL29307,"President, All India Congress Committee",Naresh Hiralal Bhansali,100000,*******4012,691,7516991
7596,12-10-2021,OL29305,"President, All India Congress Committee",Naresh Hiralal Bhansali,100000,*******4012,691,7516991
7597,12-10-2021,OL29309,"President, All India Congress Committee",Naresh Hiralal Bhansali,100000,*******4012,691,7516991
7598,12-10-2021,OL29301,"President, All India Congress Committee",Naresh Hiralal Bhansali,100000,*******4012,691,7516991
7883,20-10-2021,TL14306,"President, All India Congress Committee",Naresh Hiralal Bhansali,1000000,*******4012,691,7516991
7884,20-10-2021,TL14310,"President, All India Congress Committee",Naresh Hiralal Bhansali,1000000,*******4012,691,7516991
17681,17-10-2023,TL15712,"President, All India Congress Committee",Naresh Hiralal Bhansali,1000000,*******4012,691,8212066
17682,17-10-2023,TL15700,"President, All India Congress Committee",Naresh Hiralal Bhansali,1000000,*******4012,691,8212066
17683,17-10-2023,TL15714,"President, All India Congress Committee",Naresh Hiralal Bhansali,1000000,*******4012,691,8212066
10809,05-07-2022,OC12080,Bharat Rashtra Samithi,Natco Pharma Limited,10000000,*******7477,847,3889823
10810,05-07-2022,OC12088,Bharat Rashtra Samithi,Natco Pharma Limited,10000000,*******7477,847,3889823
10811,05-07-2022,OC12092,Bharat Rashtra Samithi,Natco Pharma Limited,10000000,*******7477,847,3889823
10812,05-07-2022,OC12084,Bharat Rashtra Samithi,Natco Pharma Limited,10000000,*******7477,847,3889823
10813,05-07-2022,OC12086,Bharat Rashtra Samithi,Natco Pharma Limited,10000000,*******7477,847,3889823
10814,05-07-2022,OC12090,Bharat Rashtra Samithi,Natco Pharma Limited,10000000,*******7477,847,3889823
10815,05-07-2022,OC12094,Bharat Rashtra Samithi,Natco Pharma Limited,10000000,*******7477,847,3889823
10816,05-07-2022,OC12078,Bharat Rashtra Samithi,Natco Pharma Limited,10000000,*******7477,847,3889823
10817,05-07-2022,OC12082,Bharat Rashtra Samithi,Natco Pharma Limited,10000000,*******7477,847,3889823
10818,05-07-2022,OC12076,Bharat Rashtra Samithi,Natco Pharma Limited,10000000,*******7477,847,3889823
11155,12-07-2022,OC12074,Bharatiya Janata Party,Natco Pharma Limited,10000000,*******8244,691,7516991
11156,12-07-2022,OC12096,Bharatiya Janata Party,Natco Pharma Limited,10000000,*******8244,691,7516991
4705,15-10-2019,TL7540,"President, All India Congress Committee",Natco Pharma Ltd,1000000,*******4012,691,2039265
4706,15-10-2019,TL7542,"President, All India Congress Committee",Natco Pharma Ltd,1000000,*******4012,691,2039265
4707,15-10-2019,OL23716,"President, All India Congress Committee",Natco Pharma Ltd,100000,*******4012,691,2039265
4708,15-10-2019,OL23717,"President, All India Congress Committee",Natco Pharma Ltd,100000,*******4012,691,2039265
4709,15-10-2019,OL23712,"President, All India Congress Committee",Natco Pharma Ltd,100000,*******4012,691,2039265
4710,15-10-2019,OL23714,"President, All India Congress Committee",Natco Pharma Ltd,100000,*******4012,691,2039265
4711,15-10-2019,OL23715,"President, All India Congress Committee",Natco Pharma Ltd,100000,*******4012,691,2039265
5692,08-04-2021,OC6891,Telugu Desam Party,Natco Pharma Ltd,10000000,*******3067,847,3382516
12591,18-11-2022,OC12322,Bharatiya Janata Party,Natco Pharma Ltd,10000000,*******8244,691,7516991
12592,18-11-2022,OC12327,Bharatiya Janata Party,Natco Pharma Ltd,10000000,*******8244,691,7516991
12593,18-11-2022,OC12324,Bharatiya Janata Party,Natco Pharma Ltd,10000000,*******8244,691,7516991
16505,07-10-2023,OC15862,Bharat Rashtra Samithi,Natco Pharma Ltd,10000000,*******7477,847,6391354
16506,07-10-2023,OC15864,Bharat Rashtra Samithi,Natco Pharma Ltd,10000000,*******7477,847,6391354
16507,07-10-2023,OC15868,Bharat Rashtra Samithi,Natco Pharma Ltd,10000000,*******7477,847,6391354
16508,07-10-2023,OC15858,Bharat Rashtra Samithi,Natco Pharma Ltd,10000000,*******7477,847,6391354
16509,07-10-2023,OC15860,Bharat Rashtra Samithi,Natco Pharma Ltd,10000000,*******7477,847,6391354
16510,07-10-2023,OC15852,Bharat Rashtra Samithi,Natco Pharma Ltd,10000000,*******7477,847,6391354
16511,07-10-2023,OC15870,Bharat Rashtra Samithi,Natco Pharma Ltd,10000000,*******7477,847,6391354
16512,07-10-2023,OC15854,Bharat Rashtra Samithi,Natco Pharma Ltd,10000000,*******7477,847,6391354
16513,07-10-2023,OC15866,Bharat Rashtra Samithi,Natco Pharma Ltd,10000000,*******7477,847,6391354
16514,07-10-2023,OC15856,Bharat Rashtra Samithi,Natco Pharma Ltd,10000000,*******7477,847,6391354
16648,09-10-2023,OC15923,"President, All India Congress Committee",Natco Pharma Ltd,10000000,*******4012,691,7516991
16649,09-10-2023,OC15911,"President, All India Congress Committee",Natco Pharma Ltd,10000000,*******4012,691,7516991
16650,09-10-2023,OC15915,"President, All India Congress Committee",Natco Pharma Ltd,10000000,*******4012,691,7516991
16651,09-10-2023,OC15921,"President, All India Congress Committee",Natco Pharma Ltd,10000000,*******4012,691,7516991
16652,09-10-2023,OC15913,"President, All India Congress Committee",Natco Pharma Ltd,10000000,*******4012,691,7516991
16653,09-10-2023,OC15917,"President, All India Congress Committee",Natco Pharma Ltd,10000000,*******4012,691,7516991
16654,09-10-2023,OC15909,"President, All India Congress Committee",Natco Pharma Ltd,10000000,*******4012,691,7516991
16655,09-10-2023,OC15919,"President, All India Congress Committee",Natco Pharma Ltd,10000000,*******4012,691,7516991
16656,09-10-2023,OC15925,"President, All India Congress Committee",Natco Pharma Ltd,10000000,*******4012,691,7516991
16657,09-10-2023,OC15907,"President, All India Congress Committee",Natco Pharma Ltd,10000000,*******4012,691,7516991
18645,15-11-2023,OC16249,"President, All India Congress Committee",Natco Pharma Ltd,10000000,*******4012,691,8212066
18646,15-11-2023,OC16251,"President, All India Congress Committee",Natco Pharma Ltd,10000000,*******4012,691,8212066
18659,17-11-2023,OC16200,Bharatiya Janata Party,Natco Pharma Ltd,10000000,*******8244,691,7516991
18660,17-11-2023,OC16208,Bharatiya Janata Party,Natco Pharma Ltd,10000000,*******8244,691,7516991
18661,17-11-2023,OC16210,Bharatiya Janata Party,Natco Pharma Ltd,10000000,*******8244,691,7516991
18662,17-11-2023,OC16212,Bharatiya Janata Party,Natco Pharma Ltd,10000000,*******8244,691,7516991
18663,17-11-2023,OC16198,Bharatiya Janata Party,Natco Pharma Ltd,10000000,*******8244,691,7516991
18664,17-11-2023,OC16204,Bharatiya Janata Party,Natco Pharma Ltd,10000000,*******8244,691,7516991
18665,17-11-2023,OC16214,Bharatiya Janata Party,Natco Pharma Ltd,10000000,*******8244,691,7516991
18666,17-11-2023,OC16206,Bharatiya Janata Party,Natco Pharma Ltd,10000000,*******8244,691,7516991
18667,17-11-2023,OC16202,Bharatiya Janata Party,Natco Pharma Ltd,10000000,*******8244,691,7516991
18668,17-11-2023,OC16216,Bharatiya Janata Party,Natco Pharma Ltd,10000000,*******8244,691,7516991
19694,11-01-2024,OC17021,Telugu Desam Party,Natco Pharma Ltd,10000000,*******3067,847,7620160
19695,11-01-2024,OC17017,Telugu Desam Party,Natco Pharma Ltd,10000000,*******3067,847,7620160
19696,11-01-2024,OC17015,Telugu Desam Party,Natco Pharma Ltd,10000000,*******3067,847,7620160
19697,11-01-2024,OC16997,Telugu Desam Party,Natco Pharma Ltd,10000000,*******3067,847,7620160
19698,11-01-2024,OC17013,Telugu Desam Party,Natco Pharma Ltd,10000000,*******3067,847,7620160
19699,11-01-2024,OC17011,Telugu Desam Party,Natco Pharma Ltd,10000000,*******3067,847,7620160
19700,11-01-2024,OC17007,Telugu Desam Party,Natco Pharma Ltd,10000000,*******3067,847,7620160
19701,11-01-2024,OC17019,Telugu Desam Party,Natco Pharma Ltd,10000000,*******3067,847,7620160
19702,11-01-2024,OC17009,Telugu Desam Party,Natco Pharma Ltd,10000000,*******3067,847,7620160
19703,11-01-2024,OC16981,Telugu Desam Party,Natco Pharma Ltd,10000000,*******3067,847,7620160
20164,17-01-2024,OC16989,Janasena Party,Natco Pharma Ltd,10000000,*******3929,847,6391354
20165,17-01-2024,OC16991,Janasena Party,Natco Pharma Ltd,10000000,*******3929,847,6391354
20166,17-01-2024,OC16993,Janasena Party,Natco Pharma Ltd,10000000,*******3929,847,6391354
20167,17-01-2024,OC16987,Janasena Party,Natco Pharma Ltd,10000000,*******3929,847,6391354
20168,17-01-2024,OC16995,Janasena Party,Natco Pharma Ltd,10000000,*******3929,847,6391354
20179,17-01-2024,OC17001,Telugu Desam Party,Natco Pharma Ltd,10000000,*******3067,847,7620160
20180,17-01-2024,OC17003,Telugu Desam Party,Natco Pharma Ltd,10000000,*******3067,847,7620160
20181,17-01-2024,OC16999,Telugu Desam Party,Natco Pharma Ltd,10000000,*******3067,847,7620160
20344,19-01-2024,OC17005,Ysr Congress Party (Yuvajana Sramika Rythu Congress Party),Natco Pharma Ltd,10000000,*******6354,847,7620160
20345,19-01-2024,OC16983,Ysr Congress Party (Yuvajana Sramika Rythu Congress Party),Natco Pharma Ltd,10000000,*******6354,847,7620160
20346,19-01-2024,OC16985,Ysr Congress Party (Yuvajana Sramika Rythu Congress Party),Natco Pharma Ltd,10000000,*******6354,847,7620160
4515,15-10-2019,TL13428,Bharatiya Janata Party,Natraj Goods Private Limited,1000000,*******8244,691,3723135
4516,15-10-2019,TL13426,Bharatiya Janata Party,Natraj Goods Private Limited,1000000,*******8244,691,3723135
4517,15-10-2019,TL13422,Bharatiya Janata Party,Natraj Goods Private Limited,1000000,*******8244,691,3303527
4518,15-10-2019,TL13420,Bharatiya Janata Party,Natraj Goods Private Limited,1000000,*******8244,691,3303527
4519,15-10-2019,TL13424,Bharatiya Janata Party,Natraj Goods Private Limited,1000000,*******8244,691,3303527
7861,18-10-2021,TL14324,All India Trinamool Congress,Natural Residency Llp,1000000,*******0688,1,3480909
7862,18-10-2021,TL14322,All India Trinamool Congress,Natural Residency Llp,1000000,*******0688,1,3480909
9380,14-01-2022,OC10900,Bharatiya Janata Party,Naval Kishore Agarwal,10000000,*******8244,691,7516991
9381,14-01-2022,OC10898,Bharatiya Janata Party,Naval Kishore Agarwal,10000000,*******8244,691,7516991
9382,14-01-2022,OC10895,Bharatiya Janata Party,Naval Kishore Agarwal,10000000,*******8244,691,7516991
9383,14-01-2022,OC10892,Bharatiya Janata Party,Naval Kishore Agarwal,10000000,*******8244,691,7516991
4592,15-10-2019,OL1191,Bharatiya Janata Party,Navarun Sen,100000,*******8244,691,3303527
4593,15-10-2019,OL1189,Bharatiya Janata Party,Navarun Sen,100000,*******8244,691,3723135
11394,11-10-2022,OC12252,Bharatiya Janata Party,Navayuga Engineering Co Ltd,10000000,*******8244,691,5972302
11395,11-10-2022,OC12258,Bharatiya Janata Party,Navayuga Engineering Co Ltd,10000000,*******8244,691,5972302
11396,11-10-2022,OC12262,Bharatiya Janata Party,Navayuga Engineering Co Ltd,10000000,*******8244,691,5972302
11397,11-10-2022,OC12270,Bharatiya Janata Party,Navayuga Engineering Co Ltd,10000000,*******8244,691,5972302
11398,11-10-2022,OC12254,Bharatiya Janata Party,Navayuga Engineering Co Ltd,10000000,*******8244,691,5972302
11399,11-10-2022,OC12266,Bharatiya Janata Party,Navayuga Engineering Co Ltd,10000000,*******8244,691,5972302
11400,11-10-2022,OC12256,Bharatiya Janata Party,Navayuga Engineering Co Ltd,10000000,*******8244,691,5972302
11401,11-10-2022,OC12268,Bharatiya Janata Party,Navayuga Engineering Co Ltd,10000000,*******8244,691,5972302
11402,11-10-2022,OC12264,Bharatiya Janata Party,Navayuga Engineering Co Ltd,10000000,*******8244,691,5972302
11403,11-10-2022,OC12260,Bharatiya Janata Party,Navayuga Engineering Co Ltd,10000000,*******8244,691,5972302
2464,23-04-2019,OC5550,Bharatiya Janata Party,Navayuga Engineering Company Limited,10000000,*******8244,691,3300196
